match,status,league,scoreboard,summary,start-in
Freiburg x Borussia M'gladbach,EM BREVE,MAIS POPULARES AGORA,,,HOJE 15:30
Santa Clara x Braga,EM BREVE,Campeonato Alemão - Bundesliga,,,HOJE 15:00
Desportivo Aves x Belenenses,EM BREVE,Campeonato Alemão - Bundesliga,,,HOJE 17:15
Bochum x St. Pauli,43 MIN,Campeonato Português,"{'Bochum': '1', 'St. Pauli': '0'}",1 x 0,
Greuther Fürth x Sandhausen,42 MIN,Campeonato Português,"{'Greuther Fürth': '0', 'Sandhausen': '2'}",0 x 2,
Incheon United x Gangwon,ENCERRADO,Campeonato Alemão - Segunda Divisão,"{'Incheon United': '1', 'Gangwon': '2'}",1 x 2,
Slavia Prague U19 x Bohemians 1905 B,ENCERRADO,Campeonato Sul-Coreano - K-League,"{'Slavia Prague U19': '2', 'Bohemians 1905 B': '1'}",2 x 1,
Vålerenga x Jerv,ENCERRADO,Campeonato Sul-Coreano - K-League,"{'Vålerenga': '1', 'Jerv': '2'}",1 x 2,
Sereď x Banska Bystrica,ENCERRADO,Campeonato Sul-Coreano - K-League,"{'Sereď': '2', 'Banska Bystrica': '1'}",2 x 1,
EIF x Inter Turku,ENCERRADO,Campeonato Sul-Coreano - K-League,"{'EIF': '2', 'Inter Turku': '2'}",2 x 2,
Hanácká x Brumov,ENCERRADO,Campeonato Sul-Coreano - K-League,"{'Hanácká': '6', 'Brumov': '1'}",6 x 1,
Hermanice x Trinec B,ENCERRADO,Campeonato Sul-Coreano - K-League,"{'Hermanice': '5', 'Trinec B': '2'}",5 x 2,
HFK Olomouc x Uničov,ENCERRADO,Campeonato Sul-Coreano - K-League,"{'HFK Olomouc': '1', 'Uničov': '2'}",1 x 2,
Vrchovina x Velké Meziříčí,ENCERRADO,Campeonato Sul-Coreano - K-League,"{'Vrchovina': '2', 'Velké Meziříčí': '0'}",2 x 0,
Hajduk Split x Inter Zaprešić,EM BREVE,Jogos Amistosos,,,HOJE 15:00
Korona Kielce x Piast Gliwice,54 MIN,Campeonato Croata,"{'Korona Kielce': '1', 'Piast Gliwice': '0'}",1 x 0,
Górnik Zabrze x Lechia Gdańsk,EM BREVE,Campeonato Croata,,,HOJE 15:30
Proleter Novi Sad x Bačka Topola,53 MIN,Campeonato Polonês,"{'Proleter Novi Sad': '0', 'Bačka Topola': '1'}",0 x 1,
Voždovac x Napredak,EM BREVE,Campeonato Polonês,,,HOJE 15:00
Lokomotiv Plovdiv x Etar,70 MIN,Superliga Sérvia,"{'Lokomotiv Plovdiv': '0', 'Etar': '0'}",0 x 0,
Levski Sofia x Ludogorets,EM BREVE,Superliga Sérvia,,,HOJE 15:00
Aluminij x Mura,12 MIN,Campeonato Búlgaro,"{'Aluminij': '0', 'Mura': '0'}",0 x 0,
Celje x Rudar Velenje,EM BREVE,Campeonato Búlgaro,,,HOJE 16:00
Debrecen x Kaposvári Rákóczi,EM BREVE,Campeonato Esloveno,,,HOJE 15:00
Kolding IF x Viborg,83 MIN,Campeonato Húngaro - NB 1,"{'Kolding IF': '2', 'Viborg': '1'}",2 x 1,
Skive x Vendsyssel,11 MIN,Campeonato Húngaro - NB 1,"{'Skive': '0', 'Vendsyssel': '0'}",0 x 0,
Fredericia x Vejle,EM BREVE,Campeonato Húngaro - NB 1,,,HOJE 15:00
TJK Legion II x FC Helios,41 MIN,Dinamarca - Primeira Divisão,"{'TJK Legion II': '0', 'FC Helios': '0'}",0 x 0,
Wigry Suwałki x Miedź Legnica,ENCERRADO,Estônia - II Liiga,"{'Wigry Suwałki': '1', 'Miedź Legnica': '1'}",1 x 1,
Stal Mielec x Puszcza Niepołomice,74 MIN,Estônia - II Liiga,"{'Stal Mielec': '0', 'Puszcza Niepołomice': '0'}",0 x 0,
Chrobry Głogów x Bełchatów,EM BREVE,Estônia - II Liiga,,,HOJE 15:10
Magdeburg x Uerdingen,13 MIN,Polônia - 1. Liga,"{'Magdeburg': '0', 'Uerdingen': '0'}",0 x 0,
Hai Phong x Ho Chi Minh City,ENCERRADO,Alemanha - 3. Liga,"{'Hai Phong': '0', 'Ho Chi Minh City': '0'}",0 x 0,
Nam Dinh x Viettel,ENCERRADO,Alemanha - 3. Liga,"{'Nam Dinh': '1', 'Viettel': '2'}",1 x 2,
Sai Gon x Binh Duong,ENCERRADO,Alemanha - 3. Liga,"{'Sai Gon': '0', 'Binh Duong': '0'}",0 x 0,
Vigvam Smolevichi x Gorodeya,58 MIN,Vietnã - V-League,"{'Vigvam Smolevichi': '3', 'Gorodeya': '0'}",3 x 0,
Floridsdorfer AC x Vorwärts Steyr,43 MIN,Bielorrússia - Vysshaya Liga,"{'Floridsdorfer AC': '0', 'Vorwärts Steyr': '0'}",0 x 0,
Austria Wien II x Blau-Weiß Linz,43 MIN,Bielorrússia - Vysshaya Liga,"{'Austria Wien II': '1', 'Blau-Weiß Linz': '0'}",1 x 0,
Horn x Anif,42 MIN,Bielorrússia - Vysshaya Liga,"{'Horn': '0', 'Anif': '1'}",0 x 1,
Dornbirn x Amstetten,41 MIN,Bielorrússia - Vysshaya Liga,"{'Dornbirn': '0', 'Amstetten': '2'}",0 x 2,
Ried x Lafnitz,EM BREVE,Bielorrússia - Vysshaya Liga,,,HOJE 15:25
Slavia Res. x Neman Grodno Res.,ENCERRADO,Áustria - 1. Liga,"{'Slavia Res.': '1', 'Neman Grodno Res.': '1'}",1 x 1,
Isloch Res. x FK Ruh Brest Res.,ENCERRADO,Áustria - 1. Liga,"{'Isloch Res.': '4', 'FK Ruh Brest Res.': '1'}",4 x 1,
Slutsk Res. x Torpedo Zhodino Res.,ENCERRADO,Áustria - 1. Liga,"{'Slutsk Res.': '2', 'Torpedo Zhodino Res.': '0'}",2 x 0,
ÍR x KÁ Hafnarfjördur,EM BREVE,Bielorrúsia - Reserve League,,,HOJE 16:15
Selfoss x Snæfell,EM BREVE,Bielorrúsia - Reserve League,,,HOJE 16:15
Blix x Njardvík,EM BREVE,Bielorrúsia - Reserve League,,,HOJE 17:00
Hoffenheim W x Bayer Leverkusen W,EM BREVE,Copa da Islândia,,,HOJE 14:15
Dong Thap x Can Tho,ENCERRADO,Frauen Bundesliga,"{'Dong Thap': '5', 'Can Tho': '4'}",5 x 4,
Pho Hien x Bình Phước,ENCERRADO,Frauen Bundesliga,"{'Pho Hien': '2', 'Bình Phước': '1'}",2 x 1,
Zlatibor Čajetina x Trajal Krusevac,84 MIN,Vietnã - V-League 2,"{'Zlatibor Čajetina': '1', 'Trajal Krusevac': '0'}",1 x 0,
MaPS x Toejoen Veikot,EM BREVE,Sérvia - Prva Liga,,,HOJE 12:30
SIF x Sporting Kristina,EM BREVE,Sérvia - Prva Liga,,,HOJE 13:00
FC Sääripotku x VPS II,EM BREVE,Sérvia - Prva Liga,,,HOJE 13:00
PeKa x KyPa,EM BREVE,Sérvia - Prva Liga,,,HOJE 13:00
Åland x PaiHa,EM BREVE,Sérvia - Prva Liga,,,HOJE 18:00
KF Llapi x Dukagjini,ENCERRADO,Kolmonen,"{'KF Llapi': '4', 'Dukagjini': '1'}",4 x 1,
Hoang Anh JMG U19 x Bình Phước U19,ENCERRADO,Kosovo - Superliga,"{'Hoang Anh JMG U19': '1', 'Bình Phước U19': '2'}",1 x 2,
SLNA U19 x Thanh Hoa U19,ENCERRADO,Kosovo - Superliga,"{'SLNA U19': '1', 'Thanh Hoa U19': '0'}",1 x 0,
Da Nang U19 x QNK Quang Nam U19,ENCERRADO,Kosovo - Superliga,"{'Da Nang U19': '3', 'QNK Quang Nam U19': '1'}",3 x 1,
Sanatech Khánh Hoà U19 x Hồ Chí Minh U19,ENCERRADO,Kosovo - Superliga,"{'Sanatech Khánh Hoà U19': '1', 'Hồ Chí Minh U19': '3'}",1 x 3,
Nevėžis x Žalgiris II,ENCERRADO,Vietnã Championship Sub-19,"{'Nevėžis': '1', 'Žalgiris II': '1'}",1 x 1,
Džiugas Telšiai x Panevėžys II,ENCERRADO,Vietnã Championship Sub-19,"{'Džiugas Telšiai': '2', 'Panevėžys II': '0'}",2 x 0,
FA Šiauliai x Trakai II,56 MIN,Vietnã Championship Sub-19,"{'FA Šiauliai': '2', 'Trakai II': '1'}",2 x 1,
Vilniaus Vytis x Kauno Žalgiris II,58 MIN,Vietnã Championship Sub-19,"{'Vilniaus Vytis': '0', 'Kauno Žalgiris II': '0'}",0 x 0,
